method,publication_year,success_auc,average_overlap,sr_0.50,sr_0.75,precision_10px,precision_20px,normalized_precision_auc,mean_center_error_px,median_center_error_px,rmse_center_error_px,iou_lt_0.1,fps,frames,evaluated_frames,absent_frames
SUTrack-B224,2025,0.806243213676052,0.8209647820223799,0.9745658455640431,0.8067690899207507,0.9702743684376163,0.9825479930191972,0.8876541776267628,10.065751080561522,1.7264596834157258,66.02821107478539,0.016851200183103023,14.085837291049925,35256,34953,303
SafeCL-IMMTrack,2026,0.8062459384234337,0.8209692563190207,0.9745658455640431,0.8067690899207507,0.9702743684376163,0.9825479930191972,0.8876625922877949,10.028039420369964,1.7264596834157258,65.71281523117143,0.016851200183103023,11.85746443484375,35256,34953,303
RLSM-IMMTrack,2026,0.8063113323605987,0.8210322956689445,0.9746516751065717,0.8069121391582983,0.9703029782851258,0.9825193831716877,0.8877046655929558,10.05628958877571,1.7264596834157258,65.90084543520786,0.016879810030612535,9.836687429557532,35256,34953,303
ARTrackV2-B-256,2024,0.7652534764370658,0.7767662143752507,0.9046147684032844,0.7689468715131749,0.8952307384201642,0.9202071352959689,0.8225527501075673,36.654562627978876,1.920288657378144,149.30293815124926,0.07470031184733786,11.572099223559814,35256,34953,303
MCITrack-B224,2025,0.7569293731854886,0.7679287118124357,0.9077046319343118,0.7584184476296741,0.9075043630017452,0.918261665665322,0.8305242389920806,39.05719572363618,1.728514395897908,144.3075256309201,0.08067976997682602,6.746336639419141,35256,34953,303
UETrack-B,2026,0.7320238197416121,0.7407638490975466,0.8748891368409006,0.7444568420450319,0.8619574857666009,0.8838440191113781,0.791894774102815,55.308850902498875,2.08503198174582,178.0557597520255,0.11203616284725203,40.03847348430143,35256,34953,303
