method,success_auc,precision_20px,normalized_precision_auc,mean_iou,mean_center_error_px,fps
SUTrack-B224,0.7007486927383475,0.8859154423650275,0.8086370580417231,0.7091149770345021,61.18993615540242,11.312662229804989
SafeCL-IMMTrack,0.7019323696287668,0.8877833255504868,0.8100738912613072,0.7103502092338205,61.19315958285305,8.775467500032804
Original dual-memory SafeCL,0.6795639553281709,0.8455763497252057,0.7753969075686598,0.6860635143141568,89.34042397044018,8.843090391221821
Risk-limited shadow memory,0.7031656514755764,0.8878910880419555,0.8102140529332175,0.7116004306324764,61.4093521595799,6.917394604338483
